Year,Month,Total Blood Smears Examined for Malaria,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,Inpatient - Malaria,Inpatient - Dengue,Inpatient - Typhoid,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",Inpatient - Tuberculosis,Inpatient - Diarrhea with dehydration,Inpatient - Hepatitis,Specific Humidity,Relative Humidity,T2M,T2M_MAX,T2M_MIN,District
2016,September,278,0,0,-1,-1,-1,-1,-1,-1,-1,12.46933333333333,81.36266666666667,16.79733333333333,21.814,12.663,Bageshwar
2016,October,210,0,0,-1,-1,-1,-1,-1,-1,-1,7.356451612903226,58.83709677419355,13.69612903225806,20.50193548387097,8.706129032258064,Bageshwar
2016,November,221,0,0,-1,-1,-1,-1,-1,-1,-1,2.933666666666667,30.25933333333333,10.67433333333333,18.91233333333333,5.450333333333333,Bageshwar
2016,December,323,0,0,-1,-1,-1,-1,-1,-1,-1,1.854193548387097,21.90516129032258,8.866774193548387,17.45032258064516,3.566451612903226,Bageshwar
2015,January,214,0,0,-1,-1,-1,-1,-1,-1,-1,3.423870967741935,57.36451612903225,3.286451612903226,10.21967741935484,-2.092258064516129,Bageshwar
2015,February,257,0,0,-1,-1,-1,-1,-1,-1,-1,4.621071428571428,61.64571428571428,6.310714285714285,13.25392857142857,0.8885714285714286,Bageshwar
2015,March,256,0,0,-1,-1,-1,-1,-1,-1,-1,5.837096774193548,69.14967741935483,7.972258064516129,13.97,2.338064516129033,Bageshwar
2015,April,351,0,0,-1,-1,-1,-1,-1,-1,-1,7.482333333333333,67.498,12.19266666666667,17.62266666666666,6.877333333333334,Bageshwar
2015,May,460,0,0,-1,-1,-1,-1,-1,-1,-1,6.616774193548387,42.18193548387097,18.22548387096774,24.98290322580645,11.58129032258064,Bageshwar
2015,June,563,1,0,-1,-1,-1,-1,-1,-1,-1,9.596333333333332,55.44566666666666,19.366,25.17,13.68166666666667,Bageshwar
2015,July,529,0,0,-1,-1,-1,-1,-1,-1,-1,14.72258064516129,86.14741935483872,18.32290322580645,22.10612903225806,14.90774193548387,Bageshwar
2015,August,804,0,0,-1,-1,-1,-1,-1,-1,-1,14.49870967741935,87.14516129032258,17.90774193548387,21.66806451612903,14.71387096774193,Bageshwar
2015,September,540,0,0,-1,-1,-1,-1,-1,-1,-1,11.06966666666667,72.708,16.92033333333334,22.69533333333333,12.33466666666667,Bageshwar
2015,October,630,0,0,-1,-1,-1,-1,-1,-1,-1,7.297096774193549,60.48387096774194,13.40903225806452,20.06322580645162,8.691935483870967,Bageshwar
2015,November,470,0,0,-1,-1,-1,-1,-1,-1,-1,4.513999999999999,47.174,10.436,17.725,5.512,Bageshwar
2015,December,322,0,0,-1,-1,-1,-1,-1,-1,-1,2.729032258064516,38.35612903225806,5.849677419354839,13.35290322580645,1.017741935483871,Bageshwar
2014,January,425,0,0,-1,-1,-1,-1,-1,-1,-1,3.345161290322581,54.76967741935484,3.608387096774194,10.70774193548387,-2.04258064516129,Bageshwar
2014,February,573,0,0,-1,-1,-1,-1,-1,-1,-1,3.974642857142857,63.15857142857143,3.887857142857143,10.66535714285714,-1.889642857142857,Bageshwar
2014,March,708,0,0,-1,-1,-1,-1,-1,-1,-1,5.139354838709677,61.79451612903226,7.945161290322581,14.49967741935484,1.851612903225806,Bageshwar
2014,April,319,0,0,-1,-1,-1,-1,-1,-1,-1,5.667666666666666,49.222,13.425,20.61966666666667,6.856666666666667,Bageshwar
2014,May,343,0,0,-1,-1,-1,-1,-1,-1,-1,6.839354838709678,45.38032258064516,17.54774193548387,24.21580645161291,11.04193548387097,Bageshwar
2014,June,515,0,0,-1,-1,-1,-1,-1,-1,-1,9.56,50.85166666666667,20.86933333333333,27.22466666666667,14.48666666666667,Bageshwar
2014,July,459,0,0,-1,-1,-1,-1,-1,-1,-1,13.8741935483871,79.54387096774194,18.9383870967742,23.33548387096774,15.32096774193548,Bageshwar
